"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"101955 Bennu (1999 RQ36)","2178-2290","157","5.7e-4","5.99","20.6","0.490","-1.41","-1.59","","a0101955"
"29075 (1950 DA)","2880-2880","1","2.9e-5","14.10","17.9","1.300","-2.05","-2.05","","a0029075"
"(2007 FT3)","2024-2119","89","8.6e-7","17.07","20.0","0.341","-2.63","-2.79","0","bK07F03T"
"(1979 XB)","2056-2113","4","8.5e-7","23.76","18.5","0.660","-2.71","-3.01","0","bJ79X00B"
"(2000 SG344)","2069-2122","300","2.7e-3","1.36","24.8","0.037","-2.78","-3.13","0","bK00SY4G"
"(2008 JL3)","2027-2122","44","1.7e-4","8.42","25.3","0.029","-2.98","-2.99","0","bK08J03L"
"(2010 RF12)","2095-2122","70","1.0e-1","5.10","28.4","0.007","-2.98","-2.98","0","bK10R12F"
"(2022 PX1)","2040-2040","1","3.2e-6","35.11","22.3","0.120","-3.15","-3.15","0","bK22P01X"
"(2005 QK76)","2030-2059","6","7.1e-5","19.67","25.2","0.031","-3.25","-3.36","0","bK05Q76K"
"(2022 YO1)","2024-2044","5","2.3e-3","14.42","30.0","0.003","-3.26","-3.26","0","bK22Y01O"
"(2024 BY15)","2071-2124","331","9.4e-3","NaN","26.7","0.015","-3.30","-3.89","0","bK24B15Y"
"(2021 GX9)","2032-2052","2","8.2e-5","16.79","25.3","0.029","-3.36","-3.36","0","bK21G09X"
"(2015 JJ)","2111-2111","1","2.1e-5","10.70","22.1","0.130","-3.56","-3.56","0","bK15J00J"
"(2023 DO)","2057-2092","25","4.5e-4","6.97","25.6","0.026","-3.58","-3.60","0","bK23D00O"
"(2008 UB7)","2044-2101","50","3.4e-5","18.53","23.8","0.058","-3.63","-4.26","0","bK08U07B"
"(2019 VB37)","2049-2067","5","5.7e-5","14.55","24.5","0.043","-3.64","-3.65","0","bK19V37B"
"(2024 FL1)","2052-2080","9","6.3e-5","11.24","24.3","0.047","-3.66","-3.66","0","bK24F01L"
"(2007 DX40)","2035-2122","93","7.8e-5","15.52","24.6","0.040","-3.67","-4.05","0","bK07D40X"
"(2016 YM4)","2121-2121","1","1.3e-5","18.98","22.4","0.110","-3.69","-3.69","0","bK16Y04M"
"(2012 QD8)","2047-2120","16","6.1e-6","20.76","23.1","0.081","-3.73","-3.81","0","bK12Q08D"
"(2000 SB45)","2067-2118","194","1.6e-4","7.53","24.3","0.046","-3.73","-4.20","0","bK00S45B"
"(2008 EX5)","2056-2093","28","5.3e-5","9.92","23.8","0.059","-3.79","-4.06","0","bK08E05X"
"(2020 VW)","2074-2079","12","7.0e-3","9.69","28.3","0.007","-3.83","-4.11","0","bK20V00W"
"(2017 WT28)","2083-2121","113","1.2e-2","4.47","28.1","0.008","-3.84","-3.86","0","bK17W28T"
"(2020 VV)","2044-2122","424","2.3e-3","2.58","27.3","0.012","-3.84","-4.33","0","bK20V00V"
"(2012 HG2)","2052-2122","689","2.0e-3","3.32","27.0","0.014","-3.85","-4.28","0","bK12H02G"
"(2013 VW13)","2063-2095","14","4.4e-4","16.35","26.2","0.019","-3.87","-4.04","0","bK13V13W"
"(2023 VD3)","2034-2098","4","1.7e-4","17.78","27.0","0.013","-3.92","-3.92","0","bK23V03D"
"(2006 DM63)","2031-2122","46","1.4e-4","10.37","26.7","0.015","-4.01","-4.26","0","bK06D63M"
"(2020 OB)","2114-2122","9","1.7e-5","25.44","23.7","0.062","-4.03","-4.28","0","bK20O00B"
"(2021 EU)","2056-2123","6","5.5e-5","21.22","25.4","0.028","-4.04","-4.09","0","bK21E00U"
"(2008 CC71)","2034-2082","32","4.1e-5","8.05","24.9","0.036","-4.04","-4.35","0","bK08C71C"
"(2007 KE4)","2029-2096","3","2.0e-5","10.06","25.2","0.031","-4.06","-4.07","0","bK07K04E"
"(2009 BE)","2037-2122","90","3.6e-4","11.46","26.1","0.020","-4.07","-4.38","0","bK09B00E"
"(2015 YJ)","2042-2122","119","1.6e-3","16.35","28.3","0.007","-4.07","-4.31","0","bK15Y00J"
"(2023 TB2)","2102-2123","10","6.5e-5","6.86","23.8","0.058","-4.07","-4.18","0","bK23T02B"
"(2013 TP4)","2026-2026","1","3.5e-5","25.30","27.5","0.011","-4.08","-4.08","0","bK13T04P"
"(2020 FA5)","2065-2110","3","6.6e-7","27.53","21.1","0.210","-4.10","-4.17","0","bK20F05A"
"(2014 GN1)","2061-2065","2","2.1e-5","21.23","24.6","0.041","-4.10","-4.10","0","bK14G01N"
"(2023 BZ)","2026-2026","1","3.8e-5","8.25","26.6","0.016","-4.10","-4.10","0","bK23B00Z"
"(2022 UY14)","2043-2043","1","2.1e-5","20.36","25.1","0.032","-4.10","-4.10","0","bK22U14Y"
"(2010 GM23)","2087-2122","61","8.1e-5","13.44","24.7","0.039","-4.11","-4.70","0","bK10G23M"
"(2020 KD3)","2083-2104","21","6.0e-4","7.93","26.4","0.017","-4.12","-4.13","0","bK20K03D"
"(2024 FX)","2070-2110","16","6.4e-7","32.33","21.4","0.180","-4.14","-4.61","0","bK24F00X"
"(2010 CR5)","2062-2062","3","7.9e-8","23.87","19.8","0.370","-4.15","-4.17","0","bK10C05R"
"(2017 LD)","2053-2122","319","2.2e-3","4.49","27.5","0.011","-4.15","-4.72","0","bK17L00D"
"(2006 RH120)","2044-2122","108","1.3e-2","NaN","29.6","0.004","-4.16","-4.39","0","bK06RC0H"
"(2021 GE2)","2030-2030","1","7.3e-4","15.36","29.1","0.005","-4.16","-4.16","0","bK21G02E"
"(2006 JY26)","2073-2122","107","5.0e-3","2.98","28.4","0.007","-4.16","-4.17","0","bK06J26Y"
"(2020 MJ)","2083-2107","38","1.0e-4","17.06","25.3","0.030","-4.17","-4.37","0","bK20M00J"
"(2012 VE77)","2033-2035","2","4.6e-5","15.33","26.3","0.018","-4.18","-4.18","0","bK12V77E"
"(2021 AM6)","2064-2120","68","5.3e-4","5.21","26.6","0.016","-4.18","-4.52","0","bK21A06M"
"(2016 WG)","2076-2118","44","6.3e-6","23.60","23.3","0.075","-4.18","-4.93","0","bK16W00G"
"(2010 UK)","2068-2121","48","6.7e-4","6.08","26.9","0.014","-4.20","-4.21","0","bK10U00K"
"(1994 GK)","2050-2067","9","1.7e-5","14.88","24.2","0.048","-4.21","-4.23","0","bJ94G00K"
"(2019 LU1)","2056-2070","7","5.2e-6","31.80","24.2","0.048","-4.24","-4.27","0","bK19L01U"
"(2022 NX1)","2075-2121","50","3.2e-3","NaN","28.0","0.008","-4.25","-4.30","0","bK22N01X"
"(2008 HJ)","2077-2122","32","2.6e-4","7.53","25.8","0.024","-4.26","-4.72","0","bK08H00J"
"(2006 CM10)","2092-2092","1","1.0e-6","22.34","21.7","0.150","-4.27","-4.27","0","bK06C10M"
"(2011 DU9)","2041-2059","6","1.9e-4","8.77","26.7","0.016","-4.27","-4.28","0","bK11D09U"
"(2019 LW4)","2083-2117","36","1.0e-3","8.62","27.3","0.012","-4.27","-4.31","0","bK19L04W"
"(2002 RB182)","2036-2120","28","5.9e-6","13.57","22.8","0.092","-4.28","-4.95","0","bK02RI2B"
"(2018 DQ)","2027-2121","104","2.2e-4","20.85","29.1","0.005","-4.28","-4.30","0","bK18D00Q"
"(2014 JU15)","2071-2121","126","5.4e-5","10.35","24.7","0.039","-4.29","-5.06","0","bK14J15U"
"(2022 SX55)","2035-2058","5","4.0e-3","12.05","30.2","0.003","-4.29","-4.29","0","bK22S55X"
"(2022 YS6)","2065-2078","11","3.7e-4","10.04","26.8","0.015","-4.30","-4.31","0","bK22Y06S"
"(2011 BL45)","2050-2122","307","1.0e-3","1.68","27.1","0.013","-4.34","-4.54","0","bK11B45L"
"(2020 CQ1)","2070-2122","50","4.6e-3","4.90","28.8","0.006","-4.34","-4.35","0","bK20C01Q"
"(2018 TY4)","2033-2060","2","3.1e-4","10.67","28.1","0.008","-4.35","-4.35","0","bK18T04Y"
"(2011 EB74)","2032-2121","196","4.0e-4","7.53","26.9","0.014","-4.35","-5.21","0","bK11E74B"
"(2022 KM4)","2075-2075","2","2.3e-7","24.97","20.9","0.220","-4.35","-4.57","0","bK22K04M"
"(2005 XA8)","2069-2090","38","9.4e-5","12.08","25.6","0.025","-4.36","-4.48","0","bK05X08A"
"(2008 ST7)","2062-2112","26","2.7e-5","9.97","24.1","0.052","-4.37","-4.77","0","bK08S07T"
"(2012 BA77)","2025-2088","18","2.9e-5","12.72","25.9","0.023","-4.38","-4.68","0","bK12B77A"
"(2008 EZ84)","2072-2122","16","1.9e-4","7.91","26.2","0.020","-4.39","-4.69","0","bK08E84Z"
"(2000 UK11)","2122-2122","2","1.2e-4","6.29","25.0","0.034","-4.39","-4.48","0","bK00U11K"
"(2023 SN8)","2026-2123","6","8.6e-5","8.03","28.0","0.009","-4.41","-4.41","0","bK23S08N"
"(2010 VQ)","2087-2122","21","1.6e-3","4.63","27.7","0.010","-4.42","-4.46","0","bK10V00Q"
"(2018 JD)","2067-2114","19","2.6e-4","8.01","26.7","0.016","-4.45","-4.46","0","bK18J00D"
"(2010 QG2)","2051-2066","7","9.5e-6","12.89","24.4","0.044","-4.46","-4.48","0","bK10Q02G"
"(2022 OH2)","2087-2122","137","1.1e-3","3.62","27.4","0.011","-4.46","-4.73","0","bK22O02H"
"(2012 MF7)","2046-2104","19","1.6e-4","8.70","26.8","0.015","-4.47","-4.51","0","bK12M07F"
"(2007 KO4)","2030-2113","35","1.9e-6","13.78","23.3","0.076","-4.47","-5.05","0","bK07K04O"
"(2000 WJ107)","2110-2119","39","7.5e-6","12.77","23.1","0.081","-4.47","-4.81","0","bK00WA7J"
"(2002 MN)","2053-2122","20","9.5e-6","10.37","23.3","0.073","-4.48","-4.91","0","bK02M00N"
"(2016 RD34)","2051-2117","116","5.5e-4","1.13","27.4","0.011","-4.50","-4.81","0","bK16R34D"
"(2017 SF20)","2034-2061","4","3.4e-4","10.44","28.4","0.007","-4.51","-4.51","0","bK17S20F"
"(2013 GM3)","2028-2122","136","1.5e-4","7.14","26.2","0.019","-4.51","-5.28","0","bK13G03M"
"(2021 SU1)","2054-2120","43","2.0e-4","6.24","26.6","0.017","-4.52","-4.63","0","bK21S01U"
"(2021 TT1)","2048-2048","1","3.9e-5","17.12","26.2","0.019","-4.54","-4.54","0","bK21T01T"
"(2021 VM1)","2081-2102","18","8.3e-5","14.56","25.8","0.024","-4.55","-4.63","0","bK21V01M"
"(2020 XF)","2056-2122","528","3.9e-4","3.27","26.8","0.015","-4.56","-5.21","0","bK20X00F"
"(2015 XA378)","2092-2121","40","5.7e-5","17.90","25.6","0.026","-4.56","-4.81","0","bK15Xb8A"
"(2023 XE3)","2053-2122","99","5.1e-4","2.01","27.5","0.011","-4.59","-4.66","0","bK23X03E"
"(2021 QY3)","2085-2119","81","1.0e-4","12.08","25.8","0.024","-4.60","-5.13","0","bK21Q03Y"
"(2020 JK)","2063-2122","50","8.9e-6","18.64","24.1","0.052","-4.61","-5.47","0","bK20J00K"
"(2018 GR4)","2058-2121","83","3.2e-4","2.60","27.1","0.013","-4.61","-4.66","0","bK18G04R"
"(2022 WW11)","2050-2065","6","9.0e-5","13.42","26.8","0.015","-4.61","-4.61","0","bK22W11W"
"(2007 WP3)","2098-2119","30","7.2e-6","13.03","23.5","0.067","-4.62","-4.91","0","bK07W03P"
"(2021 YW)","2093-2109","32","1.7e-5","24.96","25.0","0.033","-4.62","-5.09","0","bK21Y00W"
"(2016 AB166)","2102-2108","4","1.1e-5","21.59","24.4","0.044","-4.62","-4.64","0","bK16AG6B"
"(2006 HF6)","2068-2112","25","1.0e-5","16.40","24.5","0.043","-4.62","-5.11","0","bK06H06F"
"(2014 CR13)","2102-2117","25","8.7e-5","12.29","25.7","0.024","-4.63","-4.74","0","bK14C13R"
"(2018 NW)","2046-2122","112","4.9e-4","21.14","27.8","0.009","-4.63","-5.27","0","bK18N00W"
"(2017 FO63)","2088-2108","3","2.1e-6","29.28","23.4","0.070","-4.64","-4.65","0","bK17F63O"
"(2016 DK1)","2043-2122","121","3.0e-4","6.87","27.4","0.011","-4.64","-5.05","0","bK16D01K"
"(2022 VE1)","2068-2118","15","1.2e-5","17.15","24.4","0.045","-4.65","-5.12","0","bK22V01E"
"(2014 YN)","2093-2121","52","1.5e-4","3.28","25.7","0.024","-4.65","-5.20","0","bK14Y00N"
"(2020 UE)","2042-2120","37","3.2e-5","14.58","25.5","0.027","-4.65","-5.10","0","bK20U00E"
"(2011 UM169)","2099-2108","24","3.1e-5","13.96","25.1","0.033","-4.66","-4.88","0","bK11UG9M"
"(2020 VN1)","2115-2122","2","1.7e-3","2.96","27.9","0.009","-4.67","-4.67","0","bK20V01N"
"(2011 SO189)","2056-2102","16","9.9e-5","12.99","26.5","0.017","-4.68","-5.04","0","bK11SI9O"
"(2014 WA201)","2074-2084","12","1.6e-4","11.57","26.8","0.015","-4.69","-4.70","0","bK14WK1A"
"(2007 HB15)","2050-2122","97","5.1e-4","6.34","27.8","0.010","-4.70","-4.88","0","bK07H15B"
"(2017 VL2)","2087-2121","109","1.3e-4","8.33","26.1","0.021","-4.70","-5.36","0","bK17V02L"
"(2013 HN158)","2053-2107","3","8.1e-6","9.13","24.5","0.043","-4.71","-4.71","0","bK13HF8N"
"(2016 EO28)","2035-2065","35","6.0e-4","6.98","29.1","0.005","-4.72","-4.74","0","bK16E28O"
"(2022 AT2)","2080-2080","1","2.6e-4","6.44","26.9","0.014","-4.73","-4.73","0","bK22A02T"
"(2020 DJ1)","2083-2118","41","2.5e-5","14.02","24.8","0.036","-4.73","-4.84","0","bK20D01J"
"(2020 DF3)","2065-2101","5","2.8e-6","26.80","24.2","0.050","-4.74","-4.96","0","bK20D03F"
"(2017 YM1)","2049-2110","20","3.1e-5","11.08","25.1","0.032","-4.74","-4.93","0","bK17Y01M"
"(2019 QR3)","2073-2089","21","2.3e-4","10.98","27.1","0.013","-4.74","-5.05","0","bK19Q03R"
"(2023 EB)","2053-2123","106","9.2e-5","7.40","26.2","0.020","-4.74","-5.24","0","bK23E00B"
"(2011 OB26)","2089-2122","94","5.7e-5","10.99","25.5","0.027","-4.75","-5.25","0","bK11O26B"
"(2012 EK5)","2064-2111","19","3.5e-5","15.13","25.6","0.026","-4.75","-5.03","0","bK12E05K"
"(2008 PK9)","2049-2065","3","5.6e-7","26.35","23.2","0.077","-4.77","-4.95","0","bK08P09K"
"(2010 KV7)","2034-2122","139","4.1e-5","5.37","26.0","0.021","-4.77","-5.07","0","bK10K07V"
"(2019 SJ)","2082-2123","21","5.7e-4","8.52","27.6","0.010","-4.78","-5.08","0","bK19S00J"
"(2011 XC2)","2056-2056","1","6.8e-7","20.75","23.0","0.085","-4.78","-4.78","0","bK11X02C"
"(2005 ED224)","2030-2064","2","5.5e-7","26.01","23.9","0.057","-4.79","-4.90","0","bK05EM4D"
"(2018 NJ)","2083-2122","29","6.6e-4","5.85","27.8","0.009","-4.80","-4.81","0","bK18N00J"
"(2023 TW2)","2063-2123","108","1.3e-4","2.67","26.3","0.019","-4.80","-5.20","0","bK23T02W"
"(2023 SE2)","2049-2052","3","8.4e-6","24.69","25.7","0.024","-4.81","-4.96","0","bK23S02E"
"(2017 RV2)","2070-2122","62","1.4e-4","6.48","26.2","0.019","-4.82","-5.38","0","bK17R02V"
"(2011 VG9)","2104-2104","2","4.7e-7","24.87","22.2","0.120","-4.82","-4.99","0","bK11V09G"
"(2012 ES10)","2056-2064","6","1.2e-6","24.36","23.7","0.061","-4.82","-5.09","0","bK12E10S"
"(2021 EO2)","2037-2121","203","2.0e-4","5.81","27.8","0.009","-4.83","-4.90","0","bK21E02O"
"(2010 JH110)","2071-2102","5","1.1e-4","8.07","26.3","0.019","-4.84","-4.98","0","bK10JB0H"
"(2020 TY4)","2099-2099","2","9.3e-6","8.37","24.0","0.054","-4.84","-4.85","0","bK20T04Y"
"(2019 WE)","2044-2080","9","7.5e-5","8.15","26.8","0.015","-4.84","-4.94","0","bK19W00E"
"(2008 YO2)","2052-2120","56","2.1e-5","16.47","25.2","0.031","-4.85","-5.42","0","bK08Y02O"
"(2019 TU)","2086-2122","24","7.6e-5","9.72","26.0","0.021","-4.85","-4.87","0","bK19T00U"
"(2022 UV15)","2048-2123","72","7.5e-5","11.32","26.0","0.021","-4.85","-5.34","0","bK22U15V"
"(2007 TC14)","2082-2082","1","3.0e-7","25.55","22.1","0.130","-4.85","-4.85","0","bK07T14C"
"(2002 GM5)","2064-2064","1","1.2e-7","20.44","21.4","0.180","-4.86","-4.86","0","bK02G05M"
"(2007 VE8)","2062-2062","1","2.1e-5","9.05","25.4","0.028","-4.87","-4.87","0","bK07V08E"
"(2020 YN)","2046-2060","6","9.1e-5","16.19","27.7","0.010","-4.87","-4.87","0","bK20Y00N"
"(2021 WA1)","2116-2117","2","3.5e-4","13.88","27.6","0.010","-4.89","-4.95","0","bK21W01A"
"(2021 UJ6)","2055-2110","6","2.1e-4","17.51","28.3","0.007","-4.89","-4.93","0","bK21U06J"
"(2002 VU17)","2084-2099","5","1.2e-5","13.69","24.8","0.038","-4.90","-5.35","0","bK02V17U"
"(2020 HL1)","2055-2066","3","1.4e-5","9.44","25.3","0.030","-4.90","-5.02","0","bK20H01L"
"(2013 EV27)","2038-2087","3","2.9e-5","12.37","27.0","0.014","-4.91","-4.91","0","bK13E27V"
"(2016 VB1)","2065-2121","180","1.4e-3","5.45","28.6","0.007","-4.91","-5.47","0","bK16V01B"
"(2011 MX)","2059-2092","32","1.1e-4","12.15","26.9","0.014","-4.91","-5.24","0","bK11M00X"
"(2019 WU2)","2080-2109","16","1.1e-5","11.53","24.6","0.041","-4.91","-5.03","0","bK19W02U"
"(2009 WP6)","2072-2120","46","4.1e-5","25.34","26.8","0.015","-4.92","-5.18","0","bK09W06P"
"(2019 AU6)","2064-2115","21","7.9e-5","8.73","26.6","0.016","-4.92","-5.20","0","bK19A06U"
"(2005 EL70)","2034-2034","1","2.3e-7","35.53","24.1","0.052","-4.92","-4.92","0","bK05E70L"
"(2020 YA3)","2070-2119","9","3.7e-5","12.20","26.0","0.021","-4.92","-4.94","0","bK20Y03A"
"(2009 VA)","2025-2043","5","4.0e-5","8.24","28.6","0.006","-4.93","-5.13","0","bK09V00A"
"(2020 GZ2)","2049-2108","8","2.2e-4","9.54","28.1","0.008","-4.93","-4.93","0","bK20G02Z"
"(2021 EJ3)","2078-2122","156","6.5e-4","2.16","27.7","0.010","-4.94","-5.36","0","bK21E03J"
"(2021 RB6)","2075-2117","14","4.3e-4","9.23","28.0","0.009","-4.94","-4.97","0","bK21R06B"
"(2020 US7)","2028-2121","134","1.7e-5","7.36","25.8","0.024","-4.95","-5.44","0","bK20U07S"
"(2022 WF15)","2030-2042","3","4.2e-5","12.22","27.7","0.010","-4.98","-4.99","0","bK22W15F"
"(1996 TC1)","2064-2072","4","1.3e-6","24.00","23.9","0.055","-4.98","-5.00","0","bJ96T01C"
"(2020 BW5)","2046-2122","31","3.3e-5","8.67","26.4","0.018","-4.99","-5.04","0","bK20B05W"
"(2005 CC37)","2117-2117","1","1.9e-6","8.42","22.7","0.098","-4.99","-4.99","0","bK05C37C"
"(2020 XA6)","2062-2073","6","1.9e-6","20.69","24.1","0.052","-4.99","-5.39","0","bK20X06A"
"(2020 HB3)","2105-2123","15","2.3e-5","11.42","25.1","0.032","-5.00","-5.05","0","bK20H03B"
"(2004 VM24)","2049-2114","44","2.4e-5","12.86","25.7","0.025","-5.01","-5.65","0","bK04V24M"
"(2008 CT1)","2028-2122","73","2.3e-4","13.77","27.6","0.010","-5.01","-5.31","0","bK08C01T"
"(2017 GG8)","2066-2078","5","3.0e-5","11.46","26.1","0.021","-5.01","-5.06","0","bK17G08G"
"(2000 LG6)","2081-2122","116","2.1e-3","2.11","29.0","0.005","-5.01","-5.41","0","bK00L06G"
"(2021 JA1)","2084-2121","39","1.9e-5","20.98","25.6","0.026","-5.02","-5.28","0","bK21J01A"
"(2021 OV)","2029-2122","124","3.4e-5","13.85","27.7","0.010","-5.02","-5.14","0","bK21O00V"
"(2009 FJ)","2058-2121","16","1.5e-5","8.94","24.9","0.036","-5.03","-5.43","0","bK09F00J"
"(2004 GE2)","2106-2109","2","1.6e-7","20.56","21.4","0.180","-5.03","-5.06","0","bK04G02E"
"(2023 FX13)","2070-2088","13","1.8e-5","12.67","25.6","0.026","-5.04","-5.20","0","bK23F13X"
"(2023 HV5)","2086-2096","12","1.6e-4","8.92","27.1","0.013","-5.04","-5.14","0","bK23H05V"
"(2020 KN2)","2063-2121","24","4.3e-5","7.88","26.3","0.018","-5.05","-5.06","0","bK20K02N"
"(2019 JO1)","2044-2052","3","4.0e-5","18.23","27.3","0.012","-5.05","-5.08","0","bK19J01O"
"(2006 JE)","2094-2112","7","1.7e-6","26.27","23.8","0.058","-5.05","-5.22","0","bK06J00E"
"(2012 SY49)","2031-2120","37","1.0e-5","15.64","25.8","0.023","-5.06","-5.41","0","bK12S49Y"
"(2024 AM)","2069-2081","2","2.1e-4","8.82","27.8","0.009","-5.06","-5.06","0","bK24A00M"
"(2018 XQ2)","2065-2122","144","6.4e-4","3.80","28.1","0.008","-5.07","-5.49","0","bK18X02Q"
"(2020 VB5)","2037-2037","1","3.2e-5","16.92","27.7","0.010","-5.07","-5.07","0","bK20V05B"
"(2009 TH8)","2097-2100","4","9.8e-6","13.03","24.9","0.036","-5.08","-5.15","0","bK09T08H"
"(2022 YW6)","2046-2090","15","8.2e-5","29.33","28.7","0.006","-5.08","-5.34","0","bK22Y06W"
"(2016 HF3)","2078-2078","1","9.6e-6","7.93","24.8","0.037","-5.08","-5.08","0","bK16H03F"
"(2014 UD57)","2076-2121","28","3.5e-5","8.72","25.8","0.023","-5.08","-5.16","0","bK14U57D"
"(1994 GV)","2036-2122","95","1.8e-4","8.09","27.5","0.011","-5.08","-5.68","0","bJ94G00V"
"(2006 BC8)","2050-2122","57","1.3e-5","13.16","25.1","0.032","-5.09","-5.41","0","bK06B08C"
"(2023 JF)","2057-2119","58","2.2e-4","6.85","27.6","0.010","-5.09","-5.27","0","bK23J00F"
"(2022 MK1)","2099-2111","8","6.0e-6","6.44","23.9","0.055","-5.10","-5.47","0","bK22M01K"
"(2021 DR)","2046-2122","240","3.3e-4","3.44","27.8","0.009","-5.10","-5.60","0","bK21D00R"
"(2021 TW2)","2079-2121","43","4.8e-5","3.81","25.7","0.025","-5.10","-5.25","0","bK21T02W"
"(2009 BR5)","2066-2078","4","2.3e-7","17.97","22.1","0.130","-5.11","-5.15","0","bK09B05R"
"(1995 CS)","2042-2063","14","2.6e-6","25.22","25.5","0.028","-5.11","-5.28","0","bJ95C00S"
"(2010 VW194)","2042-2121","56","6.5e-5","7.31","26.5","0.017","-5.11","-5.70","0","bK10VJ4W"
"(2023 OE5)","2076-2121","33","9.0e-5","3.49","26.3","0.018","-5.11","-5.50","0","bK23O05E"
"(2007 CC27)","2056-2102","62","7.6e-5","10.88","26.9","0.014","-5.12","-5.64","0","bK07C27C"
"(2016 NL39)","2055-2122","323","2.8e-4","3.94","27.6","0.010","-5.12","-5.91","0","bK16N39L"
"(2022 UL11)","2096-2123","52","1.6e-3","8.92","29.1","0.005","-5.12","-5.43","0","bK22U11L"
"(2019 FE)","2095-2118","3","5.6e-6","9.93","24.2","0.050","-5.13","-5.17","0","bK19F00E"
"(2023 WG2)","2077-2120","15","3.3e-5","22.05","26.7","0.015","-5.13","-5.38","0","bK23W02G"
"(2009 OW6)","2077-2121","15","2.1e-5","6.65","25.3","0.029","-5.14","-5.36","0","bK09O06W"
"(2010 JL88)","2037-2122","193","5.9e-5","14.87","26.8","0.015","-5.14","-5.85","0","bK10J88L"
"(2004 PU42)","2071-2122","45","7.6e-5","10.12","26.8","0.015","-5.14","-5.85","0","bK04P42U"
"(2017 NT5)","2094-2115","8","6.7e-7","20.15","22.9","0.090","-5.14","-5.55","0","bK17N05T"
"(2016 SA2)","2110-2122","33","7.0e-4","5.20","28.1","0.008","-5.14","-5.47","0","bK16S02A"
"(2007 DS7)","2048-2118","26","2.1e-5","12.39","25.9","0.023","-5.15","-5.37","0","bK07D07S"
"(2021 VP8)","2073-2117","16","6.7e-5","6.58","26.2","0.019","-5.15","-5.23","0","bK21V08P"
"(2001 BA16)","2040-2051","3","9.5e-6","4.90","25.8","0.023","-5.17","-5.20","0","bK01B16A"
"(2011 AM37)","2048-2119","161","1.2e-3","3.65","29.7","0.004","-5.18","-5.30","0","bK11A37M"
"(2013 BL18)","2077-2092","7","2.1e-5","14.19","26.0","0.022","-5.18","-5.33","0","bK13B18L"
"(2020 CO2)","2048-2118","39","3.6e-5","15.78","26.7","0.016","-5.18","-5.40","0","bK20C02O"
"(2017 SA20)","2027-2122","1244","4.5e-4","5.87","28.4","0.007","-5.18","-6.36","0","bK17S20A"
"(2024 CU)","2055-2123","78","5.8e-5","7.38","26.3","0.018","-5.19","-5.79","0","bK24C00U"
"(2021 SQ)","2062-2071","5","2.5e-4","10.56","28.4","0.007","-5.19","-5.21","0","bK21S00Q"
"(2020 CD3)","2082-2118","115","2.5e-2","NaN","31.8","0.002","-5.19","-5.65","0","bK20C03D"
"(2014 JR24)","2069-2122","82","1.2e-3","3.72","29.3","0.005","-5.20","-5.24","0","bK14J24R"
"(2021 GG1)","2073-2122","66","5.0e-5","14.78","26.6","0.016","-5.20","-5.80","0","bK21G01G"
"(1999 RZ31)","2056-2056","1","1.4e-6","8.20","23.8","0.059","-5.20","-5.20","0","bJ99R31Z"
"(2007 UO6)","2031-2113","12","1.9e-5","11.68","27.4","0.011","-5.22","-5.44","0","bK07U06O"
"(2018 CM)","2054-2120","19","1.6e-4","9.50","27.8","0.009","-5.22","-5.31","0","bK18C00M"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.22","-5.22","0","bK06QB1N"
"(2022 UO28)","2081-2096","25","2.3e-4","12.18","28.0","0.008","-5.22","-5.36","0","bK22U28O"
"(2021 JE1)","2064-2121","79","6.0e-5","8.17","26.7","0.016","-5.23","-5.62","0","bK21J01E"
"(2015 KG158)","2045-2122","87","3.3e-4","7.69","28.3","0.007","-5.23","-5.38","0","bK15KF8G"
"(2012 WS3)","2082-2122","55","3.5e-5","8.79","25.9","0.022","-5.24","-5.64","0","bK12W03S"
"(2010 XN69)","2039-2122","114","3.2e-5","7.30","26.3","0.019","-5.25","-6.15","0","bK10X69N"
"(2014 JU79)","2041-2121","10","3.7e-7","6.17","22.8","0.092","-5.25","-5.65","0","bK14J79U"
"(2017 VJ)","2109-2121","31","6.5e-6","11.52","24.5","0.042","-5.25","-5.88","0","bK17V00J"
"(2022 WE5)","2084-2120","13","1.7e-4","8.11","27.6","0.010","-5.25","-5.29","0","bK22W05E"
"(2022 SD9)","2100-2122","22","3.9e-4","13.42","28.4","0.007","-5.25","-5.29","0","bK22S09D"
"(2022 UD)","2072-2118","88","9.4e-5","11.10","27.2","0.012","-5.25","-5.89","0","bK22U00D"
"(2021 LD6)","2106-2121","8","1.8e-4","2.90","27.2","0.012","-5.26","-5.68","0","bK21L06D"
"(2022 UU14)","2052-2094","7","1.3e-6","29.00","24.5","0.042","-5.27","-5.59","0","bK22U14U"
"(2013 WM)","2047-2105","2","3.8e-7","35.40","23.9","0.055","-5.28","-5.45","0","bK13W00M"
"(2012 BY1)","2043-2074","10","4.5e-6","18.19","25.8","0.024","-5.28","-5.44","0","bK12B01Y"
"(2020 WG5)","2086-2121","28","2.3e-4","5.96","27.7","0.010","-5.28","-5.39","0","bK20W05G"
"(2023 XT20)","2076-2111","5","1.5e-5","17.08","25.8","0.024","-5.28","-5.54","0","bK23X20T"
